constructorId,years_points_places
11,"[{""year"":1964,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1965,""points"":11.0,""place"":6,""accumulated_points"":11.0,""num_first_places"":0},{""year"":1966,""points"":3.0,""place"":8,""accumulated_points"":14.0,""num_first_places"":0},{""year"":1967,""points"":20.0,""place"":4,""accumulated_points"":34.0,""num_first_places"":0},{""year"":1968,""points"":14.0,""place"":6,""accumulated_points"":48.0,""num_first_places"":0},{""year"":2006,""points"":86.0,""place"":4,""accumulated_points"":134.0,""num_first_places"":0},{""year"":2007,""points"":6.0,""place"":9,""accumulated_points"":140.0,""num_first_places"":0},{""year"":2008,""points"":14.0,""place"":9,""accumulated_points"":154.0,""num_first_places"":0}]"
12,"[{""year"":2007,""points"":1.0,""place"":11,""accumulated_points"":1.0,""num_first_places"":0}]"
13,"[{""year"":2006,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0}]"
14,"[{""year"":2006,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0}]"
15,"[{""year"":1993,""points"":12.0,""place"":6,""accumulated_points"":12.0,""num_first_places"":0},{""year"":1994,""points"":12.0,""place"":8,""accumulated_points"":24.0,""num_first_places"":0},{""year"":1995,""points"":18.0,""place"":7,""accumulated_points"":42.0,""num_first_places"":0},{""year"":1996,""points"":11.0,""place"":7,""accumulated_points"":53.0,""num_first_places"":0},{""year"":1997,""points"":16.0,""place"":7,""accumulated_points"":69.0,""num_first_places"":0},{""year"":1998,""points"":10.0,""place"":6,""accumulated_points"":79.0,""num_first_places"":0},{""year"":1999,""points"":5.0,""place"":8,""accumulated_points"":84.0,""num_first_places"":0},{""year"":2000,""points"":6.0,""place"":8,""accumulated_points"":90.0,""num_first_places"":0},{""year"":2001,""points"":21.0,""place"":4,""accumulated_points"":111.0,""num_first_places"":0},{""year"":2002,""points"":11.0,""place"":5,""accumulated_points"":122.0,""num_first_places"":0},{""year"":2003,""points"":19.0,""place"":6,""accumulated_points"":141.0,""num_first_places"":0},{""year"":2004,""points"":34.0,""place"":6,""accumulated_points"":175.0,""num_first_places"":0},{""year"":2005,""points"":20.0,""place"":8,""accumulated_points"":195.0,""num_first_places"":0},{""year"":2010,""points"":44.0,""place"":8,""accumulated_points"":239.0,""num_first_places"":0},{""year"":2011,""points"":44.0,""place"":7,""accumulated_points"":283.0,""num_first_places"":0},{""year"":2012,""points"":126.0,""place"":6,""accumulated_points"":409.0,""num_first_places"":0},{""year"":2013,""points"":57.0,""place"":7,""accumulated_points"":466.0,""num_first_places"":0},{""year"":2014,""points"":0.0,""place"":10,""accumulated_points"":466.0,""num_first_places"":0},{""year"":2015,""points"":36.0,""place"":8,""accumulated_points"":502.0,""num_first_places"":0},{""year"":2016,""points"":2.0,""place"":10,""accumulated_points"":504.0,""num_first_places"":0},{""year"":2017,""points"":5.0,""place"":10,""accumulated_points"":509.0,""num_first_places"":0},{""year"":2018,""points"":48.0,""place"":8,""accumulated_points"":557.0,""num_first_places"":0}]"
16,"[{""year"":1999,""points"":0.0,""place"":11,""accumulated_points"":0.0,""num_first_places"":0},{""year"":2000,""points"":20.0,""place"":4,""accumulated_points"":20.0,""num_first_places"":0},{""year"":2001,""points"":17.0,""place"":6,""accumulated_points"":37.0,""num_first_places"":0},{""year"":2002,""points"":7.0,""place"":8,""accumulated_points"":44.0,""num_first_places"":0},{""year"":2003,""points"":26.0,""place"":5,""accumulated_points"":70.0,""num_first_places"":0},{""year"":2004,""points"":119.0,""place"":2,""accumulated_points"":189.0,""num_first_places"":0},{""year"":2005,""points"":38.0,""place"":6,""accumulated_points"":227.0,""num_first_places"":0}]"
17,"[{""year"":1991,""points"":13.0,""place"":5,""accumulated_points"":13.0,""num_first_places"":0},{""year"":1992,""points"":1.0,""place"":11,""accumulated_points"":14.0,""num_first_places"":0},{""year"":1993,""points"":3.0,""place"":10,""accumulated_points"":17.0,""num_first_places"":0},{""year"":1994,""points"":28.0,""place"":5,""accumulated_points"":45.0,""num_first_places"":0},{""year"":1995,""points"":21.0,""place"":6,""accumulated_points"":66.0,""num_first_places"":0},{""year"":1996,""points"":22.0,""place"":5,""accumulated_points"":88.0,""num_first_places"":0},{""year"":1997,""points"":33.0,""place"":5,""accumulated_points"":121.0,""num_first_places"":0},{""year"":1998,""points"":34.0,""place"":4,""accumulated_points"":155.0,""num_first_places"":0},{""year"":1999,""points"":61.0,""place"":3,""accumulated_points"":216.0,""num_first_places"":0},{""year"":2000,""points"":17.0,""place"":6,""accumulated_points"":233.0,""num_first_places"":0},{""year"":2001,""points"":19.0,""place"":5,""accumulated_points"":252.0,""num_first_places"":0},{""year"":2002,""points"":9.0,""place"":6,""accumulated_points"":261.0,""num_first_places"":0},{""year"":2003,""points"":13.0,""place"":9,""accumulated_points"":274.0,""num_first_places"":0},{""year"":2004,""points"":5.0,""place"":9,""accumulated_points"":279.0,""num_first_places"":0},{""year"":2005,""points"":12.0,""place"":9,""accumulated_points"":291.0,""num_first_places"":0}]"
18,"[{""year"":1985,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1986,""points"":0.0,""place"":11,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1987,""points"":0.0,""place"":14,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1988,""points"":1.0,""place"":10,""accumulated_points"":1.0,""num_first_places"":0},{""year"":1989,""points"":6.0,""place"":10,""accumulated_points"":7.0,""num_first_places"":0},{""year"":1990,""points"":0.0,""place"":11,""accumulated_points"":7.0,""num_first_places"":0},{""year"":1991,""points"":6.0,""place"":7,""accumulated_points"":13.0,""num_first_places"":0},{""year"":1992,""points"":1.0,""place"":11,""accumulated_points"":14.0,""num_first_places"":0},{""year"":1993,""points"":7.0,""place"":8,""accumulated_points"":21.0,""num_first_places"":0},{""year"":1994,""points"":5.0,""place"":10,""accumulated_points"":26.0,""num_first_places"":0},{""year"":1995,""points"":1.0,""place"":10,""accumulated_points"":27.0,""num_first_places"":0},{""year"":1996,""points"":0.0,""place"":10,""accumulated_points"":27.0,""num_first_places"":0},{""year"":1997,""points"":0.0,""place"":11,""accumulated_points"":27.0,""num_first_places"":0},{""year"":1998,""points"":0.0,""place"":10,""accumulated_points"":27.0,""num_first_places"":0},{""year"":1999,""points"":1.0,""place"":9,""accumulated_points"":28.0,""num_first_places"":0},{""year"":2000,""points"":0.0,""place"":10,""accumulated_points"":28.0,""num_first_places"":0},{""year"":2001,""points"":0.0,""place"":11,""accumulated_points"":28.0,""num_first_places"":0},{""year"":2002,""points"":2.0,""place"":9,""accumulated_points"":30.0,""num_first_places"":0},{""year"":2003,""points"":0.0,""place"":10,""accumulated_points"":30.0,""num_first_places"":0},{""year"":2004,""points"":1.0,""place"":10,""accumulated_points"":31.0,""num_first_places"":0},{""year"":2005,""points"":7.0,""place"":10,""accumulated_points"":38.0,""num_first_places"":0}]"
19,"[{""year"":2000,""points"":4.0,""place"":9,""accumulated_points"":4.0,""num_first_places"":0},{""year"":2001,""points"":9.0,""place"":8,""accumulated_points"":13.0,""num_first_places"":0},{""year"":2002,""points"":8.0,""place"":7,""accumulated_points"":21.0,""num_first_places"":0},{""year"":2003,""points"":18.0,""place"":7,""accumulated_points"":39.0,""num_first_places"":0},{""year"":2004,""points"":10.0,""place"":7,""accumulated_points"":49.0,""num_first_places"":0}]"
20,"[{""year"":1997,""points"":21.0,""place"":6,""accumulated_points"":21.0,""num_first_places"":0},{""year"":1998,""points"":1.0,""place"":9,""accumulated_points"":22.0,""num_first_places"":0},{""year"":1999,""points"":9.0,""place"":7,""accumulated_points"":31.0,""num_first_places"":0},{""year"":2000,""points"":0.0,""place"":10,""accumulated_points"":31.0,""num_first_places"":0},{""year"":2001,""points"":4.0,""place"":9,""accumulated_points"":35.0,""num_first_places"":0}]"
21,"[{""year"":1978,""points"":11.0,""place"":9,""accumulated_points"":11.0,""num_first_places"":0},{""year"":1979,""points"":5.0,""place"":9,""accumulated_points"":16.0,""num_first_places"":0},{""year"":1980,""points"":11.0,""place"":7,""accumulated_points"":27.0,""num_first_places"":0},{""year"":1981,""points"":10.0,""place"":8,""accumulated_points"":37.0,""num_first_places"":0},{""year"":1982,""points"":5.0,""place"":10,""accumulated_points"":42.0,""num_first_places"":0},{""year"":1983,""points"":4.0,""place"":10,""accumulated_points"":46.0,""num_first_places"":0},{""year"":1984,""points"":6.0,""place"":9,""accumulated_points"":52.0,""num_first_places"":0},{""year"":1985,""points"":14.0,""place"":8,""accumulated_points"":66.0,""num_first_places"":0},{""year"":1986,""points"":1.0,""place"":10,""accumulated_points"":67.0,""num_first_places"":0},{""year"":1987,""points"":11.0,""place"":6,""accumulated_points"":78.0,""num_first_places"":0},{""year"":1988,""points"":23.0,""place"":4,""accumulated_points"":101.0,""num_first_places"":0},{""year"":1989,""points"":13.0,""place"":7,""accumulated_points"":114.0,""num_first_places"":0},{""year"":1990,""points"":2.0,""place"":9,""accumulated_points"":116.0,""num_first_places"":0},{""year"":1997,""points"":9.0,""place"":8,""accumulated_points"":125.0,""num_first_places"":0},{""year"":1998,""points"":6.0,""place"":7,""accumulated_points"":131.0,""num_first_places"":0},{""year"":1999,""points"":1.0,""place"":9,""accumulated_points"":132.0,""num_first_places"":0},{""year"":2000,""points"":7.0,""place"":7,""accumulated_points"":139.0,""num_first_places"":0},{""year"":2001,""points"":1.0,""place"":10,""accumulated_points"":140.0,""num_first_places"":0},{""year"":2002,""points"":2.0,""place"":9,""accumulated_points"":142.0,""num_first_places"":0}]"
22,"[{""year"":1986,""points"":19.0,""place"":6,""accumulated_points"":19.0,""num_first_places"":0},{""year"":1987,""points"":28.0,""place"":5,""accumulated_points"":47.0,""num_first_places"":0},{""year"":1988,""points"":39.0,""place"":3,""accumulated_points"":86.0,""num_first_places"":0},{""year"":1989,""points"":39.0,""place"":4,""accumulated_points"":125.0,""num_first_places"":0},{""year"":1990,""points"":71.0,""place"":3,""accumulated_points"":196.0,""num_first_places"":0},{""year"":1991,""points"":38.5,""place"":4,""accumulated_points"":234.5,""num_first_places"":0},{""year"":1992,""points"":91.0,""place"":3,""accumulated_points"":325.5,""num_first_places"":0},{""year"":1993,""points"":72.0,""place"":3,""accumulated_points"":397.5,""num_first_places"":0},{""year"":1994,""points"":103.0,""place"":2,""accumulated_points"":500.5,""num_first_places"":0},{""year"":1995,""points"":147.0,""place"":1,""accumulated_points"":647.5,""num_first_places"":1},{""year"":1996,""points"":68.0,""place"":3,""accumulated_points"":715.5,""num_first_places"":1},{""year"":1997,""points"":67.0,""place"":3,""accumulated_points"":782.5,""num_first_places"":1},{""year"":1998,""points"":33.0,""place"":5,""accumulated_points"":815.5,""num_first_places"":1},{""year"":1999,""points"":16.0,""place"":6,""accumulated_points"":831.5,""num_first_places"":1},{""year"":2000,""points"":20.0,""place"":4,""accumulated_points"":851.5,""num_first_places"":1},{""year"":2001,""points"":10.0,""place"":7,""accumulated_points"":861.5,""num_first_places"":1}]"
23,"[{""year"":2009,""points"":172.0,""place"":1,""accumulated_points"":172.0,""num_first_places"":1}]"
24,"[{""year"":1997,""points"":6.0,""place"":9,""accumulated_points"":6.0,""num_first_places"":0},{""year"":1998,""points"":5.0,""place"":8,""accumulated_points"":11.0,""num_first_places"":0},{""year"":1999,""points"":36.0,""place"":4,""accumulated_points"":47.0,""num_first_places"":0}]"
25,"[{""year"":1970,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1971,""points"":73.0,""place"":1,""accumulated_points"":73.0,""num_first_places"":1},{""year"":1972,""points"":51.0,""place"":2,""accumulated_points"":124.0,""num_first_places"":1},{""year"":1973,""points"":82.0,""place"":2,""accumulated_points"":206.0,""num_first_places"":1},{""year"":1974,""points"":52.0,""place"":3,""accumulated_points"":258.0,""num_first_places"":1},{""year"":1975,""points"":25.0,""place"":5,""accumulated_points"":283.0,""num_first_places"":1},{""year"":1976,""points"":71.0,""place"":3,""accumulated_points"":354.0,""num_first_places"":1},{""year"":1977,""points"":27.0,""place"":5,""accumulated_points"":381.0,""num_first_places"":1},{""year"":1978,""points"":38.0,""place"":4,""accumulated_points"":419.0,""num_first_places"":1},{""year"":1979,""points"":28.0,""place"":5,""accumulated_points"":447.0,""num_first_places"":1},{""year"":1980,""points"":12.0,""place"":6,""accumulated_points"":459.0,""num_first_places"":1},{""year"":1981,""points"":10.0,""place"":8,""accumulated_points"":469.0,""num_first_places"":1},{""year"":1982,""points"":25.0,""place"":7,""accumulated_points"":494.0,""num_first_places"":1},{""year"":1983,""points"":12.0,""place"":7,""accumulated_points"":506.0,""num_first_places"":1},{""year"":1984,""points"":0.0,""place"":12,""accumulated_points"":506.0,""num_first_places"":1},{""year"":1985,""points"":7.0,""place"":9,""accumulated_points"":513.0,""num_first_places"":1},{""year"":1986,""points"":11.0,""place"":7,""accumulated_points"":524.0,""num_first_places"":1},{""year"":1987,""points"":11.0,""place"":6,""accumulated_points"":535.0,""num_first_places"":1},{""year"":1988,""points"":5.0,""place"":8,""accumulated_points"":540.0,""num_first_places"":1},{""year"":1989,""points"":16.0,""place"":5,""accumulated_points"":556.0,""num_first_places"":1},{""year"":1990,""points"":16.0,""place"":5,""accumulated_points"":572.0,""num_first_places"":1},{""year"":1991,""points"":12.0,""place"":6,""accumulated_points"":584.0,""num_first_places"":1},{""year"":1992,""points"":8.0,""place"":6,""accumulated_points"":592.0,""num_first_places"":1},{""year"":1993,""points"":0.0,""place"":12,""accumulated_points"":592.0,""num_first_places"":1},{""year"":1994,""points"":13.0,""place"":6,""accumulated_points"":605.0,""num_first_places"":1},{""year"":1995,""points"":5.0,""place"":8,""accumulated_points"":610.0,""num_first_places"":1},{""year"":1996,""points"":5.0,""place"":8,""accumulated_points"":615.0,""num_first_places"":1},{""year"":1997,""points"":2.0,""place"":10,""accumulated_points"":617.0,""num_first_places"":1},{""year"":1998,""points"":0.0,""place"":10,""accumulated_points"":617.0,""num_first_places"":1}]"
26,"[{""year"":1962,""points"":19.0,""place"":4,""accumulated_points"":19.0,""num_first_places"":0},{""year"":1963,""points"":0.0,""place"":9,""accumulated_points"":19.0,""num_first_places"":0},{""year"":1967,""points"":0.0,""place"":12,""accumulated_points"":19.0,""num_first_places"":0},{""year"":1968,""points"":0.0,""place"":11,""accumulated_points"":19.0,""num_first_places"":0},{""year"":1974,""points"":1.0,""place"":12,""accumulated_points"":20.0,""num_first_places"":0},{""year"":1975,""points"":0.0,""place"":14,""accumulated_points"":20.0,""num_first_places"":0},{""year"":1985,""points"":0.0,""place"":10,""accumulated_points"":20.0,""num_first_places"":0},{""year"":1986,""points"":6.0,""place"":8,""accumulated_points"":26.0,""num_first_places"":0},{""year"":1991,""points"":1.0,""place"":11,""accumulated_points"":27.0,""num_first_places"":0},{""year"":1993,""points"":0.0,""place"":12,""accumulated_points"":27.0,""num_first_places"":0},{""year"":1997,""points"":0.0,""place"":11,""accumulated_points"":27.0,""num_first_places"":0}]"
27,"[{""year"":1976,""points"":20.0,""place"":5,""accumulated_points"":20.0,""num_first_places"":0},{""year"":1977,""points"":18.0,""place"":8,""accumulated_points"":38.0,""num_first_places"":0},{""year"":1978,""points"":19.0,""place"":6,""accumulated_points"":57.0,""num_first_places"":0},{""year"":1979,""points"":61.0,""place"":3,""accumulated_points"":118.0,""num_first_places"":0},{""year"":1980,""points"":66.0,""place"":2,""accumulated_points"":184.0,""num_first_places"":0},{""year"":1981,""points"":44.0,""place"":4,""accumulated_points"":228.0,""num_first_places"":0},{""year"":1982,""points"":20.0,""place"":8,""accumulated_points"":248.0,""num_first_places"":0},{""year"":1983,""points"":0.0,""place"":12,""accumulated_points"":248.0,""num_first_places"":0},{""year"":1984,""points"":3.0,""place"":10,""accumulated_points"":251.0,""num_first_places"":0},{""year"":1985,""points"":23.0,""place"":6,""accumulated_points"":274.0,""num_first_places"":0},{""year"":1986,""points"":29.0,""place"":5,""accumulated_points"":303.0,""num_first_places"":0},{""year"":1987,""points"":1.0,""place"":11,""accumulated_points"":304.0,""num_first_places"":0},{""year"":1988,""points"":0.0,""place"":11,""accumulated_points"":304.0,""num_first_places"":0},{""year"":1989,""points"":3.0,""place"":13,""accumulated_points"":307.0,""num_first_places"":0},{""year"":1990,""points"":0.0,""place"":11,""accumulated_points"":307.0,""num_first_places"":0},{""year"":1991,""points"":0.0,""place"":14,""accumulated_points"":307.0,""num_first_places"":0},{""year"":1992,""points"":6.0,""place"":7,""accumulated_points"":313.0,""num_first_places"":0},{""year"":1993,""points"":23.0,""place"":5,""accumulated_points"":336.0,""num_first_places"":0},{""year"":1994,""points"":13.0,""place"":6,""accumulated_points"":349.0,""num_first_places"":0},{""year"":1995,""points"":24.0,""place"":5,""accumulated_points"":373.0,""num_first_places"":0},{""year"":1996,""points"":15.0,""place"":6,""accumulated_points"":388.0,""num_first_places"":0}]"
28,"[{""year"":1995,""points"":0.0,""place"":11,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1996,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0}]"
29,"[{""year"":1991,""points"":0.0,""place"":14,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1992,""points"":6.0,""place"":7,""accumulated_points"":6.0,""num_first_places"":0},{""year"":1993,""points"":4.0,""place"":9,""accumulated_points"":10.0,""num_first_places"":0},{""year"":1994,""points"":9.0,""place"":9,""accumulated_points"":19.0,""num_first_places"":0},{""year"":1995,""points"":5.0,""place"":8,""accumulated_points"":24.0,""num_first_places"":0},{""year"":1996,""points"":1.0,""place"":9,""accumulated_points"":25.0,""num_first_places"":0}]"
30,"[{""year"":1994,""points"":0.0,""place"":12,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1995,""points"":0.0,""place"":11,""accumulated_points"":0.0,""num_first_places"":0}]"
31,"[{""year"":1994,""points"":0.0,""place"":12,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1995,""points"":0.0,""place"":11,""accumulated_points"":0.0,""num_first_places"":0}]"
32,"[{""year"":1958,""points"":3.0,""place"":6,""accumulated_points"":3.0,""num_first_places"":0},{""year"":1959,""points"":5.0,""place"":4,""accumulated_points"":8.0,""num_first_places"":0},{""year"":1960,""points"":34.0,""place"":2,""accumulated_points"":42.0,""num_first_places"":0},{""year"":1962,""points"":0.0,""place"":9,""accumulated_points"":42.0,""num_first_places"":0},{""year"":1963,""points"":0.0,""place"":9,""accumulated_points"":42.0,""num_first_places"":0},{""year"":1970,""points"":59.0,""place"":1,""accumulated_points"":101.0,""num_first_places"":1},{""year"":1972,""points"":61.0,""place"":1,""accumulated_points"":162.0,""num_first_places"":2},{""year"":1973,""points"":92.0,""place"":1,""accumulated_points"":254.0,""num_first_places"":3},{""year"":1974,""points"":42.0,""place"":4,""accumulated_points"":296.0,""num_first_places"":3},{""year"":1975,""points"":9.0,""place"":7,""accumulated_points"":305.0,""num_first_places"":3},{""year"":1976,""points"":29.0,""place"":4,""accumulated_points"":334.0,""num_first_places"":3},{""year"":1977,""points"":62.0,""place"":2,""accumulated_points"":396.0,""num_first_places"":3},{""year"":1978,""points"":86.0,""place"":1,""accumulated_points"":482.0,""num_first_places"":4},{""year"":1979,""points"":39.0,""place"":4,""accumulated_points"":521.0,""num_first_places"":4},{""year"":1980,""points"":14.0,""place"":5,""accumulated_points"":535.0,""num_first_places"":4},{""year"":1981,""points"":22.0,""place"":7,""accumulated_points"":557.0,""num_first_places"":4},{""year"":1982,""points"":30.0,""place"":6,""accumulated_points"":587.0,""num_first_places"":4},{""year"":1983,""points"":12.0,""place"":7,""accumulated_points"":599.0,""num_first_places"":4},{""year"":1984,""points"":47.0,""place"":3,""accumulated_points"":646.0,""num_first_places"":4},{""year"":1985,""points"":71.0,""place"":3,""accumulated_points"":717.0,""num_first_places"":4},{""year"":1986,""points"":58.0,""place"":3,""accumulated_points"":775.0,""num_first_places"":4},{""year"":1987,""points"":64.0,""place"":3,""accumulated_points"":839.0,""num_first_places"":4},{""year"":1988,""points"":23.0,""place"":4,""accumulated_points"":862.0,""num_first_places"":4},{""year"":1989,""points"":15.0,""place"":6,""accumulated_points"":877.0,""num_first_places"":4},{""year"":1990,""points"":3.0,""place"":8,""accumulated_points"":880.0,""num_first_places"":4},{""year"":1991,""points"":3.0,""place"":9,""accumulated_points"":883.0,""num_first_places"":4},{""year"":1992,""points"":13.0,""place"":5,""accumulated_points"":896.0,""num_first_places"":4},{""year"":1993,""points"":12.0,""place"":6,""accumulated_points"":908.0,""num_first_places"":4},{""year"":1994,""points"":0.0,""place"":12,""accumulated_points"":908.0,""num_first_places"":4}]"
33,"[{""year"":1987,""points"":3.0,""place"":9,""accumulated_points"":3.0,""num_first_places"":0},{""year"":1988,""points"":0.0,""place"":11,""accumulated_points"":3.0,""num_first_places"":0},{""year"":1989,""points"":1.0,""place"":15,""accumulated_points"":4.0,""num_first_places"":0},{""year"":1990,""points"":11.0,""place"":6,""accumulated_points"":15.0,""num_first_places"":0},{""year"":1991,""points"":1.0,""place"":11,""accumulated_points"":16.0,""num_first_places"":0},{""year"":1992,""points"":1.0,""place"":11,""accumulated_points"":17.0,""num_first_places"":0},{""year"":1993,""points"":3.0,""place"":10,""accumulated_points"":20.0,""num_first_places"":0},{""year"":1994,""points"":2.0,""place"":11,""accumulated_points"":22.0,""num_first_places"":0}]"
34,"[{""year"":1962,""points"":6.0,""place"":7,""accumulated_points"":6.0,""num_first_places"":0},{""year"":1963,""points"":28.0,""place"":3,""accumulated_points"":34.0,""num_first_places"":0},{""year"":1970,""points"":35.0,""place"":4,""accumulated_points"":69.0,""num_first_places"":0},{""year"":1971,""points"":5.0,""place"":9,""accumulated_points"":74.0,""num_first_places"":0},{""year"":1972,""points"":7.0,""place"":9,""accumulated_points"":81.0,""num_first_places"":0},{""year"":1973,""points"":22.0,""place"":4,""accumulated_points"":103.0,""num_first_places"":0},{""year"":1974,""points"":35.0,""place"":5,""accumulated_points"":138.0,""num_first_places"":0},{""year"":1975,""points"":54.0,""place"":2,""accumulated_points"":192.0,""num_first_places"":0},{""year"":1977,""points"":27.0,""place"":5,""accumulated_points"":219.0,""num_first_places"":0},{""year"":1978,""points"":53.0,""place"":3,""accumulated_points"":272.0,""num_first_places"":0},{""year"":1980,""points"":55.0,""place"":3,""accumulated_points"":327.0,""num_first_places"":0},{""year"":1981,""points"":61.0,""place"":2,""accumulated_points"":388.0,""num_first_places"":0},{""year"":1982,""points"":41.0,""place"":5,""accumulated_points"":429.0,""num_first_places"":0},{""year"":1983,""points"":72.0,""place"":3,""accumulated_points"":501.0,""num_first_places"":0},{""year"":1984,""points"":38.0,""place"":4,""accumulated_points"":539.0,""num_first_places"":0},{""year"":1985,""points"":26.0,""place"":5,""accumulated_points"":565.0,""num_first_places"":0},{""year"":1986,""points"":2.0,""place"":9,""accumulated_points"":567.0,""num_first_places"":0},{""year"":1987,""points"":10.0,""place"":8,""accumulated_points"":577.0,""num_first_places"":0},{""year"":1989,""points"":8.0,""place"":8,""accumulated_points"":585.0,""num_first_places"":0},{""year"":1990,""points"":2.0,""place"":9,""accumulated_points"":587.0,""num_first_places"":0},{""year"":1991,""points"":3.0,""place"":9,""accumulated_points"":590.0,""num_first_places"":0},{""year"":1992,""points"":0.0,""place"":14,""accumulated_points"":590.0,""num_first_places"":0}]"
35,"[{""year"":1988,""points"":0.0,""place"":11,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1989,""points"":8.0,""place"":8,""accumulated_points"":8.0,""num_first_places"":0},{""year"":1990,""points"":0.0,""place"":11,""accumulated_points"":8.0,""num_first_places"":0},{""year"":1991,""points"":5.0,""place"":8,""accumulated_points"":13.0,""num_first_places"":0},{""year"":1992,""points"":2.0,""place"":10,""accumulated_points"":15.0,""num_first_places"":0}]"
36,"[{""year"":1991,""points"":0.0,""place"":14,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1992,""points"":0.0,""place"":14,""accumulated_points"":0.0,""num_first_places"":0}]"
37,"[{""year"":1970,""points"":48.0,""place"":3,""accumulated_points"":48.0,""num_first_places"":0},{""year"":1972,""points"":15.0,""place"":6,""accumulated_points"":63.0,""num_first_places"":0},{""year"":1973,""points"":14.0,""place"":5,""accumulated_points"":77.0,""num_first_places"":0},{""year"":1974,""points"":6.0,""place"":9,""accumulated_points"":83.0,""num_first_places"":0},{""year"":1975,""points"":7.5,""place"":8,""accumulated_points"":90.5,""num_first_places"":0},{""year"":1976,""points"":19.0,""place"":7,""accumulated_points"":109.5,""num_first_places"":0},{""year"":1977,""points"":0.0,""place"":13,""accumulated_points"":109.5,""num_first_places"":0},{""year"":1981,""points"":0.0,""place"":14,""accumulated_points"":109.5,""num_first_places"":0},{""year"":1982,""points"":0.0,""place"":14,""accumulated_points"":109.5,""num_first_places"":0},{""year"":1987,""points"":1.0,""place"":11,""accumulated_points"":110.5,""num_first_places"":0},{""year"":1988,""points"":22.0,""place"":6,""accumulated_points"":132.5,""num_first_places"":0},{""year"":1989,""points"":4.0,""place"":12,""accumulated_points"":136.5,""num_first_places"":0},{""year"":1992,""points"":3.0,""place"":9,""accumulated_points"":139.5,""num_first_places"":0}]"
39,"[{""year"":1986,""points"":0.0,""place"":11,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1987,""points"":1.0,""place"":11,""accumulated_points"":1.0,""num_first_places"":0},{""year"":1988,""points"":0.0,""place"":11,""accumulated_points"":1.0,""num_first_places"":0},{""year"":1989,""points"":1.0,""place"":15,""accumulated_points"":2.0,""num_first_places"":0},{""year"":1990,""points"":0.0,""place"":11,""accumulated_points"":2.0,""num_first_places"":0},{""year"":1991,""points"":0.0,""place"":14,""accumulated_points"":2.0,""num_first_places"":0}]"
40,"[{""year"":1991,""points"":0.0,""place"":14,""accumulated_points"":0.0,""num_first_places"":0}]"
41,"[{""year"":1990,""points"":7.0,""place"":7,""accumulated_points"":7.0,""num_first_places"":0},{""year"":1991,""points"":1.0,""place"":11,""accumulated_points"":8.0,""num_first_places"":0}]"
42,"[{""year"":1987,""points"":0.0,""place"":14,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1988,""points"":0.0,""place"":11,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1989,""points"":0.0,""place"":17,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1990,""points"":0.0,""place"":11,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1991,""points"":0.0,""place"":14,""accumulated_points"":0.0,""num_first_places"":0}]"
44,"[{""year"":1988,""points"":0.0,""place"":11,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1989,""points"":0.0,""place"":17,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1990,""points"":0.0,""place"":11,""accumulated_points"":0.0,""num_first_places"":0}]"
45,"[{""year"":1980,""points"":0.0,""place"":12,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1981,""points"":0.0,""place"":14,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1982,""points"":3.0,""place"":12,""accumulated_points"":3.0,""num_first_places"":0},{""year"":1983,""points"":0.0,""place"":12,""accumulated_points"":3.0,""num_first_places"":0},{""year"":1984,""points"":2.0,""place"":11,""accumulated_points"":5.0,""num_first_places"":0},{""year"":1985,""points"":0.0,""place"":10,""accumulated_points"":5.0,""num_first_places"":0},{""year"":1986,""points"":0.0,""place"":11,""accumulated_points"":5.0,""num_first_places"":0},{""year"":1987,""points"":0.0,""place"":14,""accumulated_points"":5.0,""num_first_places"":0},{""year"":1988,""points"":0.0,""place"":11,""accumulated_points"":5.0,""num_first_places"":0},{""year"":1989,""points"":0.0,""place"":17,""accumulated_points"":5.0,""num_first_places"":0},{""year"":1990,""points"":0.0,""place"":11,""accumulated_points"":5.0,""num_first_places"":0}]"
