driverId,year,min_percentage_difference,avg_percentage_difference,max_percentage_difference
1,2011,0.0,30.862875611226485,156.28725314183123
1,2012,0.0,39.12790681108335,112.02674125110855
1,2013,0.2652978833842782,20.12023627673028,65.97316448062716
1,2014,0.987032295366317,131.60407252907387,4751.32022352088
1,2015,0.0,13.67343084137039,68.83947608894304
1,2016,0.0,711.4769562905201,11171.998878609476
1,2017,0.0,253.7360773605629,8671.786120591581
1,2018,0.0,8.069322958992942,42.212294972663024
1,2019,0.3309203722854188,19.295683657491992,262.09212044906093
1,2020,0.0,862.6748725582339,8130.856488112289
1,2021,0.23833167825223436,912.7528858289404,13346.159532289497
1,2022,0.0,457.21350410466357,10721.83626354111
2,2011,3.2384780523454983,34.31361783364618,93.07674789341836
3,2011,0.0,33.12832688751838,76.4518332953769
3,2012,0.8431237042156186,36.138790658940344,124.85843714609285
3,2013,0.0,23.240040309043998,142.28858562210928
3,2014,1.079213411252826,139.8084620159486,4747.99726997398
3,2015,0.16227466751331712,15.191984258835431,49.71063052086506
3,2016,0.0,729.7147260282368,11168.55620970003
4,2011,0.0,33.01792874616143,81.69781394386594
4,2012,0.25071264209911737,31.167995101329115,62.797281993204976
4,2013,0.4374494793400218,20.797149795654146,61.75432882809532
4,2014,0.0,132.2215935624649,4750.279401100542
4,2015,0.0,26.249321233414182,178.9558531746032
4,2016,0.25811365463546737,539.822230260272,11163.18474908887
4,2017,0.0,300.58680495637634,8687.974302348925
4,2018,0.0,20.54885442465469,278.117082277637
4,2021,0.0,1054.1174117376602,13437.57139977152
4,2022,0.47933139415789255,459.13108499266383,10753.134434381103
5,2011,4.068043742405832,44.15820486306944,203.68250465485139
5,2012,3.3726001991963455,50.869449991557154,171.02916194790487
5,2013,30.60730145913836,48.30454149006357,94.3772736999786
8,2012,0.8689081979599547,36.04573017547322,128.68771234428087
8,2013,1.3946538269965134,21.540876344972368,74.3181503530389
8,2014,0.09908347783007182,122.76860796002403,4742.707844559143
8,2015,0.0,23.214669407197718,262.8084069448675
8,2016,1.3310777723367315,245.600102719542,6332.244922059518
8,2017,0.0,352.03439365485644,10499.263869370274
8,2018,0.0,17.71730954090973,100.10668089078546
8,2019,0.0,16.160323473595493,73.98627573300062
8,2020,0.7963334288169579,781.2080593555435,8208.140933829849
8,2021,0.8302583025830259,1236.213374094133,13450.413278677508
9,2019,0.0,14.45553505759975,89.0653068320102
9,2021,2.893499076096086,4.553728788923818,6.2139585017515495
10,2011,0.0,42.3445702982104,152.20641080925685
10,2012,3.032900644950608,42.46716236899818,91.54450959488273
13,2011,0.0,36.6578999640405,95.4761740569616
13,2012,0.0,34.862953725500226,166.3278531959888
13,2013,0.0,19.756142232014103,46.91693049902005
13,2014,0.450152804162881,144.95584328305276,4748.329991895235
13,2015,0.0,18.256882078352298,77.58199942093725
13,2016,0.0,616.2366611553289,11167.900196243341
13,2017,0.0,235.73321408372905,8671.136987218095
15,2011,5.1567436208991495,51.5339618725461,256.41679884145924
16,2011,0.44134887249155225,38.51248149791588,123.7707744293497
16,2013,0.2976602519728645,54.4597893767184,458.01296547565204
16,2014,1.8432585717968548,150.036859150326,4744.930256366506
17,2011,0.4476316630886584,34.832772155386685,103.75146541617819
17,2012,0.0,34.37552978180782,127.80350877192983
17,2013,0.0,38.58253486041362,753.7963011749829
18,2011,0.0,34.29524570853131,118.72974277636025
18,2012,0.0,35.49918227951299,132.82963529711807
18,2013,0.13482728160304988,32.04090246153184,405.5603780864198
18,2014,0.0,128.67009008739984,4746.026532440387
18,2015,0.0,23.32977386584489,167.52815891869753
18,2016,0.0,627.6127833810906,11170.322399775721
18,2017,1.2833781825708963,4.5787621610432625,7.874146139515628
20,2011,0.0,29.026316710825842,64.62312943934901
20,2012,0.0,34.19113961959752,104.78482446206117
20,2013,0.0,19.88562482239047,89.7398927273776
20,2014,0.0,128.65901357523012,4741.436676193321
20,2015,0.0,15.816136637762472,96.66892850533588
20,2016,0.1398716471943393,763.4782742023356,11173.54639753294
20,2017,0.0,263.40893865701634,8672.053804456937
20,2018,0.0,11.169053070381414,38.838511801573546
20,2019,0.0,15.890676511250785,72.22104257352161
20,2020,0.34947006588370094,662.3604458092022,8204.285305070181
20,2021,0.0,998.4814246523952,13342.752503191989
20,2022,0.0,527.4969878908307,10794.33848339549
22,2011,0.14821841465583685,50.48092194029213,243.2010924248958
24,2011,1.870503597122302,65.65585673469158,306.5421903052064
30,2011,0.0,35.81840524031757,116.74685816876122
30,2012,0.0,29.923979717615538,83.89014722536807
37,2011,65.77477415350666,87.3215640300669,108.86835390662712
37,2012,0.0,48.59239524048827,147.94057638357563
39,2011,22.54171632896305,61.45916334671559,106.32139349769992
39,2012,0.8254314755440344,49.37256252308789,135.1185921958684
67,2011,1.6090584028605484,38.75641545230602,83.16667816012688
153,2011,0.0,41.31731971283837,237.86151818252307
154,2012,1.2990776066064615,42.945753122116656,126.87017543859649
154,2013,0.0,22.60710686403191,154.30701173847922
154,2014,0.0,126.08425037295407,4735.899842170371
154,2015,1.5877646274379063,22.098550837407085,85.39517145094835
154,2016,3.9262531554273354,289.9169346679359,6332.55196032121
